the_geom,company,boro,building,street,cb,installati,active,payphones_,x_coordina,y_coordina,curbside,wifi,advertisin,electrifie,zoning,distrct_co
POINT (-73.9434468920635 40.70889193946561),CityBridge LLC,BK,202,GRAHAM AVENUE,1,11549,Y,1,999929,197550,YES,N,N,N,C1-3/R6,34
POINT (-73.94248897042473 40.702946304271705),CityBridge LLC,BK,45,GRAHAM AVENUE,1,7221,Y,1,1000196,195384,YES,N,N,N,C1-3/R6,34
POINT (-73.93956470644133 40.65841359979296),CityBridge LLC,BK,647,ALBANY AVENUE,9,7222,Y,1,1001018,179160,YES,N,N,N,R6,41
POINT (-73.88461215184732 40.74756830610738),CityBridge LLC,QU,81-19,ROOSEVELT AVENUE,3,13823,Y,2,1016222,211657,YES,N,Y,N,C4-3,21
POINT (-73.94235252921054 40.70224083115456),CityBridge LLC,BK,46,GRAHAM AVENUE,1,7223,Y,1,1000234,195127,YES,N,N,N,C4-3,34
POINT (-73.94235252921054 40.70224083115456),CityBridge LLC,BK,46,GRAHAM AVENUE,1,5399,Y,1,1000234,195127,YES,N,N,N,C4-3,34
POINT (-73.7931374554094 40.76388415790885),CityBridge LLC,QU,35-44,UTOPIA PARKWAY,7,7224,Y,1,1041554,217648,YES,N,N,N,R2,19
POINT (-73.97962585413866 40.739650802592934),CityBridge LLC,MN,459,2 AVENUE,6,14009,Y,1,989896,208752,YES,N,Y,N,C1-8A,2
POINT (-73.95077675336994 40.810692367207054),CityBridge LLC,MN,2346,FREDERICK DOUGLASS BOULEVARD,10,12372,Y,2,997876,234638,YES,N,Y,Y,C4-4,9
POINT (-73.96682407188577 40.69310492132281),CityBridge LLC,BK,181,WASHINGTON AVENUE,2,12512,Y,1,993450,191795,YES,N,N,N,C1-3/R6,35
POINT (-73.97259500677748 40.786672272319215),CityBridge LLC,MN,101,WEST 86 STREET,7,10302,Y,2,991839,225884,YES,N,Y,N,C1-5/R10A,6
POINT (-73.99752896053586 40.71672288621995),CityBridge LLC,MN,178,CANAL STREET,3,9950,Y,2,984935,200398,YES,N,Y,N,C6-1G,1
POINT (-73.966318933938 40.75791946943514),CityBridge LLC,MN,1043,2 AVENUE,6,10303,Y,2,993581,215409,YES,N,Y,N,C1-9/TA,4
POINT (-73.94712782796833 40.815680655475575),CityBridge LLC,MN,2504,8 AVENUE,10,15898,Y,1,998885,236456,YES,N,Y,N,C1-4/R7-2,9
POINT (-73.98504108318063 40.74533875663398),CityBridge LLC,MN,24,EAST 30 STREET,5,4014,Y,1,988395,210824,YES,N,Y,N,C5-2,4
POINT (-73.82872504216924 40.75647684378257),CityBridge LLC,QU,41-60,MAIN STREET,7,13776,Y,4,1031701,214928,YES,N,Y,N,C1-2/R6,20
POINT (-73.73567993594169 40.67432553196497),CityBridge LLC,QU,234-35,MERRICK BOULEVARD,13,13769,Y,1,1057569,185062,YES,N,Y,N,C1-2/R3-2,31
POINT (-73.75399730864712 40.68019882394771),CityBridge LLC,QU,188-03,MERRICK BOULEVARD,12,7260,Y,1,1052482,187187,YES,N,Y,N,C8-1,27
POINT (-73.74119506212044 40.676349998854455),CityBridge LLC,QU,229-04,MERRICK BOULEVARD,13,11571,Y,2,1056037,185795,YES,N,N,N,C1-2/R3-2,31
POINT (-73.99921804010076 40.645419205754855),CityBridge LLC,BK,4223,8 AVENUE,12,11570,Y,1,984467,174420,YES,N,N,N,C1-3/R6,38
POINT (-73.91023678260345 40.704325501738516),CityBridge LLC,QU,589,SENECA AVENUE,5,7261,Y,1,1009138,195894,YES,N,N,N,C1-4/R6B,34
POINT (-73.84699800424563 40.887782553315525),CityBridge LLC,BX,4125,LACONIA AVENUE,12,11569,Y,2,1026555,262758,YES,N,N,N,R4,12
POINT (-73.94850505657065 40.66526068531681),CityBridge LLC,BK,500,MONTGOMERY STREET,9,7262,Y,1,998536,181653,YES,N,N,N,R6,35
POINT (-73.96122464664957 40.598690831637384),CityBridge LLC,BK,2402,CONEY ISLAND AVENUE,15,13572,Y,2,995018,157398,YES,N,Y,N,C1-4/R6A/OP,47
POINT (-73.81867187583741 40.70898534139449),CityBridge LLC,QU,137-75,QUEENS BOULEVARD,8,13858,Y,1,1034522,197631,YES,N,Y,N,C1-4/R6A,24
POINT (-73.85948854439688 40.729287771718354),CityBridge LLC,QU,97-45,QUEENS BOULEVARD,6,13787,Y,1,1023194,205007,YES,N,Y,N,C4-2,29
POINT (-73.79686027853748 40.70437887256733),CityBridge LLC,QU,92-44,GUY R BREWER BOULEVARD,12,13735,Y,2,1040573,195966,YES,N,Y,N,C6-1A,27
POINT (-73.86275715062536 40.729423462326935),CityBridge LLC,QU,95-06,63 DRIVE,6,12513,Y,2,1022288,205055,YES,N,Y,N,C4-2,29
POINT (-73.8626368745262 40.730010697307755),CityBridge LLC,QU,95-60,QUEENS BOULEVARD,6,11576,Y,2,1022321,205269,YES,N,Y,N,C4-2,29
POINT (-73.82013837036378 40.75901363004962),CityBridge LLC,QU,144-07,SANFORD AVENUE,7,11578,Y,1,1034078,215857,YES,N,N,N,R7-1,20
POINT (-73.98970227831508 40.73177195785999),CityBridge LLC,MN,124,EAST 11 STREET,3,15372,Y,1,987104,205881,YES,N,Y,N,C6-1,2
POINT (-73.98672035164513 40.739684776186614),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,287,PARK AVENUE SOUTH,5,10743,Y,2,987930,208764,YES,N,Y,Y,C6-4A,2
POINT (-73.87611125281752 40.74844603081389),CityBridge LLC,QU,90-02,ROOSEVELT AVENUE,4,13818,Y,4,1018577,211980,YES,N,Y,N,C1-3/R6,21
POINT (-73.99030375975302 40.7144196501408),CityBridge LLC,MN,26,CANAL STREET,3,14519,Y,1,986938,199559,YES,N,Y,N,C6-2,1
POINT (-73.92637724688161 40.76588807193295),CityBridge LLC,QU,30-102,CRESCENT STREET,1,7246,Y,1,1004644,218319,YES,N,N,N,R6,22
POINT (-73.90838233717986 40.75725392485623),CityBridge LLC,QU,50-19,31 AVENUE,1,11560,Y,1,1009632,215178,YES,N,Y,N,R5,22
POINT (-73.99985210615145 40.71321510813452),CityBridge LLC,MN,180,PARK ROW,3,14541,Y,1,984291,199120,YES,N,Y,N,C6-1/TA,1
POINT (-73.97866183645839 40.75254820489645),CityBridge LLC,MN,51,EAST 42 STREET,5,13998,Y,2,990162,213451,YES,N,Y,,C5-3/MID,4
POINT (-73.98326934180321 40.74441627698503),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,439,PARK AVENUE SOUTH,5,10740,Y,2,988886,210488,YES,N,Y,Y,C6-4A,2
