the_geom,company,boro,building,street,cb,installati,active,payphones_,x_coordina,y_coordina,curbside,wifi,advertisin,electrifie,zoning,distrct_co
POINT (-73.82175705498312 40.75303533356141),CityBridge LLC,QU,44-45,KISSENA BOULEVARD,7,1186,Y,1,1033634,213678,YES,N,Y,Y,R7-1\C1-2,20
POINT (-73.82327370749695 40.82758471423885),TELEBEAM TELECOMMUNICATIONS CORPORATION,BX,3660,EAST TREMONT AVENUE,10,5917,Y,1,1033159,240838,YES,N,Y,Y,C1-2/R4-1,13
POINT (-73.94128290229281 40.70460353376724),CityBridge LLC,BK,132,SEIGEL STREET,1,3644,Y,1,1000530,195988,YES,N,N,N,R6,34
POINT (-73.91616645132402 40.64961562101773),CityBridge LLC,BK,9006,AVENUE B,17,3645,Y,1,1007513,175960,YES,N,Y,N,C1-2/R5,42
POINT (-73.95010113708963 40.68553155333608),CityBridge LLC,BK,203,MONROE STREET,3,3646,Y,1,998089,189038,YES,N,N,N,C1-3/R6,36
POINT (-73.89546696211072 40.85640437430289),CityBridge LLC,BX,2296,WEBSTER AVENUE,6,1614,Y,1,1013167,251306,YES,N,Y,N,C1-4/R7-1,15
POINT (-73.94153774557276 40.70600898319438),CityBridge LLC,BK,176,BOERUM STREET,1,3649,Y,1,1000459,196500,YES,N,N,N,R6,34
POINT (-73.95318100463822 40.6949117271433),TELEBEAM TELECOMMUNICATIONS CORPORATION,BK,742,MYRTLE AVENUE,3,5886,Y,1,997233,192455,YES,N,Y,Y,M1-2,33
POINT (-73.81379874839867 40.67546385676487),CityBridge LLC,QU,123-36,ROCKAWAY BOULEVARD,10,3651,Y,1,1035899,185421,YES,N,Y,N,C8-1,28
POINT (-73.96178572281384 40.606165101750754),CityBridge LLC,BK,2095,CONEY ISLAND AVENUE,15,1188,Y,1,994861,160121,YES,N,Y,Y,C8-2,48
POINT (-73.98211486702564 40.769964188647236),CityBridge LLC,MN,1860,BROADWAY,7,3408,Y,1,989204,219796,YES,N,Y,N,C4-7,3
POINT (-73.99215098909869 40.71164758161056),CityBridge LLC,MN,61,PIKE STREET,3,5330,Y,1,986426,198549,YES,N,N,N,R7-2,1
POINT (-73.91647788384466 40.75779804908711),CityBridge LLC,QU,43-01,BROADWAY,1,1189,Y,1,1007389,215374,YES,N,Y,N,C2-4/R6B,26
POINT (-73.98280527563307 40.7386961475014),CityBridge LLC,MN,201,EAST 23 STREET,6,14025,Y,1,989015,208404,YES,N,Y,N,C2-8A,2
POINT (-73.97644040656499 40.757389503575446),CityBridge LLC,MN,28,EAST 49 STREET,5,14166,Y,2,990777,215215,YES,N,Y,N,C5-3,4
POINT (-73.92206966282309 40.760425943937726),CityBridge LLC,QU,35-01,BROADWAY,1,1190,Y,1,1005839,216330,YES,N,Y,Y,C1-4/R6B,22
POINT (-73.92126874894444 40.76004936933955),CityBridge LLC,QU,36-01,BROADWAY,1,1191,Y,1,1006061,216193,YES,N,Y,Y,C1-4/R6B,22
POINT (-73.95756492139922 40.77611146656961),CityBridge LLC,MN,140,EAST 81 STREET,8,10186,Y,2,996003,222038,YES,N,Y,Y,C1-8X,5
POINT (-73.94229155249273 40.701853788564584),CityBridge LLC,BK,32,GRAHAM AVENUE,1,3648,Y,1,1000251,194986,YES,N,Y,N,C4-3,34
POINT (-73.78331410664539 40.696430004614705),TELEBEAM TELECOMMUNICATIONS CORPORATION,QU,109-50,MERRICK BOULEVARD,12,16048,Y,1,1044336,193079,YES,N,Y,N,C1-2/R4,27
POINT (-73.9172739298337 40.76495691679948),CityBridge LLC,QU,36-02,30 AVENUE,1,1194,Y,1,1007166,217982,YES,N,Y,Y,C1-2/R6,22
POINT (-73.96470654626704 40.75584670412622),CityBridge LLC,MN,966,1 AVENUE,6,10175,Y,2,994028,214654,YES,N,Y,Y,C1-5/R10,4
POINT (-73.9497469069229 40.77281189162796),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,1531,YORK AVENUE,8,10683,Y,2,998169,220837,YES,N,Y,N,R10,5
POINT (-73.93065476499365 40.85290943692311),CityBridge LLC,MN,590,WEST 187 STREET,12,15524,Y,1,1003434,250023,YES,N,Y,N,C1-4/R7-2,10
POINT (-73.85301092220601 40.873767731095015),CityBridge LLC,BX,3318,BOSTON ROAD,12,15719,Y,1,1024901,257649,YES,N,Y,N,C8-1,12
POINT (-73.92114525447815 40.83692089624112),CityBridge LLC,BX,1251,JEROME AVENUE,4,15527,Y,1,1006070,244200,YES,N,Y,N,C8-3,16
POINT (-73.89649007626485 40.86331645462245),CityBridge LLC,BX,2537,GRAND CONCOURSE,7,15716,Y,1,1012881,253824,YES,N,Y,N,C1-3/R8/C,14
POINT (-73.91906625928956 40.86449276184919),CityBridge LLC,MN,504,WEST 207 STREET,12,15775,Y,1,1006636,254246,YES,N,Y,N,C1-4/R7-2,10
POINT (-73.8896223898104 40.74920085344983),TELEBEAM TELECOMMUNICATIONS CORPORATION,QU,76-23,37 AVENUE,3,5876,Y,1,1014833,212250,YES,N,Y,N,C1-3/R7-1,25
POINT (-73.8748365229382 40.750752987954336),TELEBEAM TELECOMMUNICATIONS CORPORATION,QU,92-07,37 AVENUE,3,5877,Y,1,1018929,212821,YES,N,Y,N,C1-4/R6A,25
POINT (-73.88629508812166 40.73844916649434),CityBridge LLC,QU,77-06,QUEENS BOULEVARD,4,2022,Y,1,1015760,208334,YES,N,Y,N,M1-1,25
POINT (-73.89359806950873 40.75470232676092),TELEBEAM TELECOMMUNICATIONS CORPORATION,QU,73-01,NORTHERN BOULEVARD,3,16052,Y,1,1013729,214253,YES,N,Y,N,C1-2/R4,25
POINT (-74.01680596843524 40.64238499321067),CityBridge LLC,BK,5719,4 AVENUE,7,2021,Y,1,979586,173315,YES,N,Y,N,C2-4\R7A,38
POINT (-73.87824719689539 40.73694230309104),TELEBEAM TELECOMMUNICATIONS CORPORATION,QU,85-06,QUEENS BOULEVARD,4,16041,Y,1,1017991,207788,YES,N,Y,N,C2-2/R6,25
POINT (-73.92034680317616 40.74316853434003),"A. M. F. TELE-COMMUNICATIONS, INC.",QU,44-16,QUEENS BOULEVARD,2,6337,Y,1,1006322,210043,YES,N,Y,N,C4-2,26
POINT (-73.73047191922697 40.67399779860212),"A. M. F. TELE-COMMUNICATIONS, INC.",QU,243-04,MERRICK BOULEVARD,13,6339,Y,1,1059014,184947,YES,N,Y,N,C2-1/R2,31
POINT (-73.95012152685214 40.82216501568367),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,501,WEST 140 STREET,9,5878,Y,1,998055,238818,YES,N,Y,Y,C1-4/R7-2,7
POINT (-73.91709116504023 40.80737665025768),TELEBEAM TELECOMMUNICATIONS CORPORATION,BX,272,ST ANNS AVENUE,1,5879,Y,1,1007202,233437,YES,N,Y,Y,C1-4/R6,8
POINT (-73.819988236603 40.823915429632606),TELEBEAM TELECOMMUNICATIONS CORPORATION,BX,3843,EAST TREMONT AVENUE,10,5882,Y,1,1034071,239503,YES,N,Y,Y,C1-2\R3A,13
POINT (-73.9018466499053 40.8617594014842),TELEBEAM TELECOMMUNICATIONS CORPORATION,BX,2415,JEROME AVENUE,7,5883,Y,1,1011400,253255,YES,N,Y,Y,C2-4/R7-1,14
POINT (-73.8673906745503 40.83962456491711),TELEBEAM TELECOMMUNICATIONS CORPORATION,BX,1565,BEACH AVENUE,9,5884,Y,1,1020943,245203,YES,N,N,N,C8-1,18
POINT (-73.85111884046701 40.83221593713655),TELEBEAM TELECOMMUNICATIONS CORPORATION,BX,1209,CASTLE HILL AVENUE,9,5885,Y,1,1025450,242511,YES,N,Y,Y,C1-2/R5,18
POINT (-73.99591982111151 40.72094153586438),CityBridge LLC,MN,58,KENMARE STREET,2,15507,Y,1,985381,201935,YES,N,Y,N,C6-1/LI,1
POINT (-73.76301368045105 40.68040164807234),"A. M. F. TELE-COMMUNICATIONS, INC.",QU,130-07,MERRICK BOULEVARD,12,6333,Y,1,1049981,187254,YES,N,Y,N,C8-1,27
POINT (-73.9780631898527 40.78392047533285),CityBridge LLC,MN,200,WEST 80 STREET,7,4108,Y,1,990325,224881,YES,N,Y,N,C2-7A,6
POINT (-73.97380897339642 40.69329336718979),CityBridge LLC,BK,327,MYRTLE AVENUE,2,15516,Y,1,991513,191863,YES,N,N,N,C1-3/R6,35
POINT (-73.97990118091259 40.78394276841152),CityBridge LLC,MN,2220,BROADWAY,7,13976,Y,2,989816,224889,YES,N,Y,Y,C4-6A,6
POINT (-73.97137827810717 40.78614224311388),CityBridge LLC,MN,80,WEST 86 STREET,7,4106,Y,1,992176,225691,YES,N,Y,N,C1-5/R10A,6
POINT (-73.9727038870945 40.7941489459844),CityBridge LLC,MN,250,WEST 95 STREET,7,15895,Y,1,991808,228608,YES,N,Y,N,C4-6A,6
POINT (-73.9686721795459 40.79673071076877),CityBridge LLC,MN,201,WEST 100 STREET,7,4107,Y,1,992924,229549,YES,N,Y,N,C1-5/R8,7
POINT (-74.00843326314248 40.6538755756605),CityBridge LLC,BK,3902,3 AVENUE,7,14633,Y,1,981910,177501,YES,N,Y,N,M1-2,38
POINT (-73.94227924541032 40.82853458785694),CityBridge LLC,MN,834,ST NICHOLAS AVENUE,9,8834,Y,1,1000224,241140,YES,N,N,N,R7-2,9
POINT (-73.95342799746247 40.81111341121767),CityBridge LLC,MN,380,WEST 125 STREET,9,8835,Y,1,997142,234791,YES,N,N,N,C4-4,9
POINT (-73.95661998243726 40.80778256255802),CityBridge LLC,MN,54,MORNINGSIDE AVENUE,10,8836,Y,1,996259,233577,YES,N,N,N,R7A,9
POINT (-73.9823108246637 40.77977391136229),CityBridge LLC,MN,220,WEST 73 STREET,7,13992,Y,1,989149,223370,YES,N,Y,Y,C4-6A,6
POINT (-73.98080772907566 40.78329242098445),CityBridge LLC,MN,250,WEST 78 STREET,7,10366,Y,2,989565,224652,YES,N,Y,Y,C4-6A,6
POINT (-73.96782926120738 40.799615187640036),CityBridge LLC,MN,234,WEST 104 STREET,7,13913,Y,1,993157,230600,YES,N,Y,N,C1-5/R8,7
POINT (-73.97856533850785 40.783237131041176),CityBridge LLC,MN,200,WEST 79 STREET,7,13972,Y,2,990186,224632,YES,N,Y,Y,C2-5/R10A,6
POINT (-73.98822549273292 40.61515730865586),CityBridge LLC,BK,1983,68 STREET,11,8837,Y,1,987519,163395,YES,N,N,N,R5,47
POINT (-73.97114975983452 40.76348986524371),CityBridge LLC,MN,31,EAST 59 STREET,8,14175,Y,2,992242,217438,YES,N,Y,N,C5-3,4
POINT (-73.98244132758575 40.6408889726401),CityBridge LLC,BK,3602,14 AVENUE,12,16169,Y,1,989123,172770,YES,N,N,N,M1-2,39
POINT (-73.98313059472876 40.636755427561084),CityBridge LLC,BK,4101,15 AVENUE,12,16175,Y,1,988932,171264,YES,N,N,N,R6,39
POINT (-73.96203037314189 40.77123287967384),CityBridge LLC,MN,142,EAST 73 STREET,8,13963,Y,1,994767,220260,YES,N,Y,N,C1-8X,4
POINT (-73.95888650086513 40.78178257073155),CityBridge LLC,MN,25,EAST 87 STREET,8,4109,Y,1,995636,224104,YES,N,Y,N,R8B R10 C1-5,4
POINT (-73.96566922531717 40.77189275875465),CityBridge LLC,MN,25,EAST 72 STREET,8,13969,Y,1,993759,220500,YES,N,Y,,C5-1/MP,4
POINT (-73.94433359692417 40.63186570202646),CityBridge LLC,BK,3323,AVENUE H,17,3684,Y,1,999701,169487,YES,N,Y,N,C1-2,45
POINT (-73.98865665023507 40.7486109101435),CityBridge LLC,MN,899,6 AVENUE,5,14388,Y,2,987393,212016,YES,N,Y,N,C6-4.5/MID,3
POINT (-73.98079399935041 40.78081666800542),CityBridge LLC,MN,215,WEST 75 STREET,7,10556,Y,2,989569,223750,YES,N,N,N,C4-6A,6
POINT (-73.96643045705143 40.8016349077429),CityBridge LLC,MN,249,WEST 107 STREET,7,13915,Y,1,993544,231336,YES,N,Y,N,C1-5/R8,7
POINT (-73.97961398194212 40.74307076039143),CityBridge LLC,MN,201,EAST 30 STREET,6,3474,Y,1,989899,209998,YES,N,Y,N,C1-9,2
POINT (-73.97037298850805 40.79740087420172),CityBridge LLC,MN,238,WEST 100 STREET,7,12379,Y,2,992453,229793,YES,N,Y,N,C1-5/R8,6
POINT (-73.94153833147466 40.7875939120822),CityBridge LLC,MN,2000,1 AVENUE,11,8815,Y,1,1000439,226224,YES,N,N,N,R7-2,8
POINT (-73.94111720874501 40.851356259726415),CityBridge LLC,MN,870,WEST 181 STREET,12,8819,Y,1,1000540,249455,YES,N,N,N,R7-2,10
POINT (-73.96329691335404 40.79866690260711),CityBridge LLC,MN,920,COLUMBUS AVENUE,7,5519,Y,1,994412,230255,YES,N,N,N,C1-5/R7-2,7
POINT (-73.95250699524576 40.810863265750946),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,300,ST NICHOLAS AVENUE,10,6187,Y,1,997397,234700,YES,N,Y,N,C4-4,9
POINT (-73.97861510209745 40.785696421672824),CityBridge LLC,MN,2279,BROADWAY,7,13978,Y,2,990172,225528,YES,N,Y,Y,C4-6A,6
POINT (-73.96876148507084 40.791136975787445),CityBridge LLC,MN,677,COLUMBUS AVENUE,7,10365,Y,2,992900,227511,YES,N,Y,Y,5D,6
POINT (-73.99483999084634 40.642762141046546),CityBridge LLC,BK,4224,10 AVENUE,12,8821,Y,1,985682,173452,YES,N,N,N,R6,38
POINT (-73.9196647572695 40.81498410028673),CityBridge LLC,BX,2809,3 AVENUE,1,8831,Y,1,1006487,236208,YES,N,N,N,C2-4/R6,8
POINT (-73.96149994052278 40.80196822309031),CityBridge LLC,MN,400,CATHEDRAL PARKWAY,7,13936,Y,1,994909,231458,YES,N,Y,N,C2-5/R7-2,7
POINT (-73.94460894133661 40.67342458768702),CityBridge LLC,BK,190,BROOKLYN AVENUE,8,12167,Y,1,999615,184628,YES,N,N,N,R6/17A,36
POINT (-73.97934013393981 40.77663069397926),CityBridge LLC,MN,239,COLUMBUS AVENUE,7,5522,Y,1,989972,222225,YES,N,N,N,C1-8A,6
POINT (-73.9732612820874 40.79112163916515),CityBridge LLC,MN,215,WEST 91 STREET,7,4104,Y,1,991654,227505,YES,N,Y,N,C4-6A,6
POINT (-73.97283488520524 40.791741848610776),CityBridge LLC,MN,214,WEST 92 STREET,7,13989,Y,1,991772,227731,YES,N,Y,N,C4-6A,6
POINT (-73.98166666122023 40.627650740541895),CityBridge LLC,BK,5002,18 AVENUE,12,8823,Y,1,989339,167947,YES,N,N,N,C1-3/R5,44
POINT (-73.89695012296858 40.676081652655675),TELEBEAM TELECOMMUNICATIONS CORPORATION,BK,86,PENNSYLVANIA AVENUE,5,12643,Y,1,1012834,185608,YES,N,Y,,C8-2,37
POINT (-73.94388613891225 40.79553558632865),CityBridge LLC,MN,1788,LEXINGTON AVENUE,11,13460,Y,1,999787,229117,YES,N,Y,N,C1-4/R7-2,8
POINT (-73.96211932536701 40.798916291858134),CityBridge LLC,MN,70,WEST 106 STREET,7,13932,Y,1,994738,230346,YES,N,Y,N,C1-5/R7-2,7
POINT (-73.98995464638742 40.613450211237314),CityBridge LLC,BK,1984,71 STREET,11,8828,Y,1,987039,162773,YES,N,N,N,R5,47
POINT (-73.98911312676168 40.627588556645655),CityBridge LLC,BK,5502,16 AVENUE,12,8830,Y,1,987272,167924,YES,N,N,N,R6,44
POINT (-73.97867310027043 40.78500750435798),CityBridge LLC,MN,236,WEST 81 STREET,7,4105,Y,1,990156,225277,YES,N,Y,N,R8B,6
POINT (-73.96744440515425 40.80370472193849),CityBridge LLC,MN,301,WEST 109 STREET,7,13904,Y,1,993263,232090,YES,N,Y,N,C1-5/R8,7
POINT (-74.00738053362902 40.715652219557306),CityBridge LLC,MN,180,CHURCH STREET,1,15426,Y,1,982204,200008,YES,N,Y,N,C6-2A,1
POINT (-73.97090819484644 40.79586670725938),CityBridge LLC,MN,2599,BROADWAY,7,13905,Y,1,992305,229234,YES,N,Y,N,C1-5/R8,6
POINT (-73.9125076092319 40.85377540667654),CityBridge LLC,BX,101,WEST BURNSIDE AVENUE,5,12170,Y,1,1008454,250343,YES,N,N,N,C1-4/R7-1,14
POINT (-73.92206724507652 40.80876895208162),CityBridge LLC,BX,417,EAST 138 STREET,1,280,Y,1,1005824,233943,YES,N,Y,N,C1-4/R6,8
POINT (-73.98469865239367 40.75924359898347),CityBridge LLC,MN,201,WEST 47 STREET,5,10034,Y,2,988489,215890,YES,N,Y,N,C6-7T/MID,4
POINT (-73.96411908789176 40.76090234215884),CityBridge LLC,MN,1131,2 AVENUE,8,10368,Y,2,994190,216496,YES,N,Y,N,C2-8,4
POINT (-73.84095046465833 40.768574004439465),"A. M. F. TELE-COMMUNICATIONS, INC.",QU,31-25,COLLEGE POINT BOULEVARD,7,15538,Y,1,1028306,219329,YES,N,N,N,M3-1,19
POINT (-73.96992197633577 40.796396186782594),CityBridge LLC,MN,230,WEST 99 STREET,7,13931,Y,1,992578,229427,YES,N,Y,,C1-5/R8,7
POINT (-73.98101669753672 40.746935607712956),CityBridge LLC,MN,100,EAST 34 STREET,5,14059,Y,2,989510,211406,YES,N,Y,N,C5-3 C1-9,2
POINT (-73.93917381919037 40.672063178322745),CityBridge LLC,BK,252,ALBANY AVENUE,8,8863,Y,1,1001123,184133,YES,N,N,N,R6,36
POINT (-74.01688073304169 40.63880578154412),CityBridge LLC,BK,6104,5 AVENUE,7,1011,Y,1,979565,172011,YES,N,Y,N,C2-3/R6,38
POINT (-74.01322224845177 40.70501848625392),CityBridge LLC,MN,2,BEAVER STREET,1,10035,Y,2,980584,196134,YES,N,Y,N,C5-5/LM,1
POINT (-73.98688739323958 40.75270588550888),CityBridge LLC,MN,120,WEST 38 STREET,5,10033,Y,2,987883,213508,YES,N,Y,N,C6-6/MID,4
POINT (-73.94980565211311 40.77630322423096),CityBridge LLC,MN,1635,1 AVENUE,8,4110,Y,1,998152,222109,YES,N,Y,N,C2-8A,5
POINT (-73.96200571241553 40.76383305007481),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,1223,2 AVENUE,8,11016,Y,2,994775,217564,YES,N,Y,Y,R8B C2-8,4
POINT (-73.97441952214318 40.74676964651953),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,684,2 AVENUE,6,11017,Y,2,991338,211346,YES,N,Y,Y,C1-9,4
POINT (-73.99008823713015 40.73254875727674),CityBridge LLC,MN,114,4 AVENUE,2,3468,Y,1,986997,206164,YES,N,Y,N,C6-1,2
POINT (-73.9856024603458 40.7527990534567),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,1037,6 AVENUE,5,11019,Y,2,988239,213542,YES,N,Y,Y,C5-3,4
POINT (-74.00230554178209 40.72946405613978),CityBridge LLC,MN,271,6 AVENUE,2,14479,Y,1,983611,205040,YES,N,Y,N,R7-2,3
POINT (-73.9888299318076 40.748339196996554),CityBridge LLC,MN,894,6 AVENUE,5,9555,Y,2,987345,211917,YES,N,Y,N,C6-6,3
POINT (-73.99033917446141 40.71895674197702),CityBridge LLC,MN,110,ALLEN STREET,3,10369,Y,2,986928,201212,YES,N,Y,N,12C,1
POINT (-74.00045834714292 40.747670019084765),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,246,9 AVENUE,4,11020,Y,2,984123,211673,YES,N,Y,Y,R8 C2-6,3
POINT (-73.96635564777718 40.79957359604395),CityBridge LLC,MN,914,AMSTERDAM AVENUE,7,5532,Y,1,993565,230585,YES,N,N,N,R8,7
POINT (-73.88932151009323 40.83471819073527),CityBridge LLC,BX,1570,SOUTHERN BOULEVARD,3,1356,Y,1,1014877,243407,YES,N,Y,N,C8-3,17
POINT (-73.90758983588965 40.8159411966727),CityBridge LLC,BX,735,EAST 152 STREET,1,740,Y,1,1009829,236560,YES,N,Y,N,C2-4/R6,17
POINT (-73.97520334194407 40.63831028544735),CityBridge LLC,BK,423,CORTELYOU ROAD,12,8854,Y,1,991132,171831,YES,N,N,N,R6A/C1-4,39
POINT (-73.98834619126495 40.74905552835262),CityBridge LLC,MN,901,6 AVENUE,5,14392,Y,3,987479,212178,YES,N,Y,N,C6-4.5/MID,3
POINT (-73.84501704803651 40.71982447817964),CityBridge LLC,QU,106-19,71 AVENUE,6,13720,Y,3,1027211,201566,YES,N,Y,N,C8-2,29
POINT (-73.97999536457426 40.782951935784965),CityBridge LLC,MN,238,WEST 78 STREET,7,3467,Y,1,989790,224528,YES,N,Y,N,C4-6A,6
POINT (-73.85255884331082 40.71074097789024),CityBridge LLC,QU,100-27,METROPOLITAN AVENUE,6,1672,Y,1,1025126,198253,YES,N,Y,N,C1-2/R3-2,29
POINT (-73.9790616289672 40.75521891633473),CityBridge LLC,MN,6,EAST 45 STREET,5,14117,Y,2,990051,214424,YES,N,Y,N,C5-2.5/MID,4
POINT (-73.97012019750468 40.78928738712338),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,625,COLUMBUS AVENUE,7,11034,Y,2,992524,226837,YES,N,Y,Y,C1-9,6
POINT (-73.88462242478629 40.84582966551701),CityBridge LLC,BX,2095,SOUTHERN BOULEVARD,6,1351,Y,1,1016172,247457,YES,N,Y,N,R7-1/C1-4,15
POINT (-73.98077979767704 40.77997952134452),CityBridge LLC,MN,201,WEST 74 STREET,7,13985,Y,1,989573,223445,YES,N,Y,N,C4-6A,6
POINT (-73.94922799055111 40.79520320612524),CityBridge LLC,MN,23,EAST 108 STREET,11,12380,Y,2,998308,228995,YES,N,Y,N,C1-5/R7-2,9
POINT (-73.90609557743375 40.817498990972716),CityBridge LLC,BX,721,WESTCHESTER AVENUE,1,628,Y,1,1010242,237128,YES,N,Y,N,C2-4/R6,17
POINT (-73.98238575928372 40.78314445733597),CityBridge LLC,MN,301,WEST 77 STREET,7,5518,Y,1,989128,224598,YES,N,N,N,R10A,6
POINT (-73.96825136183328 40.80063359841322),CityBridge LLC,MN,251,WEST 105 STREET,7,13462,Y,2,993040,230971,YES,N,Y,Y,C1-5/R8,6
POINT (-73.9784537208068 40.67065270129406),CityBridge LLC,BK,210,7 AVENUE,6,1002,Y,1,990227,183614,YES,N,Y,N,C1-4/R6A,39
POINT (-73.89590877733588 40.81663114688538),CityBridge LLC,BX,809,SOUTHERN BOULEVARD,2,952,Y,1,1013062,236815,YES,N,Y,N,C1-4/R7-1,17
POINT (-73.88896225459548 40.8182907123596),CityBridge LLC,BX,862,HUNTS POINT AVENUE,2,149,Y,1,1014984,237422,YES,N,Y,N,C1-4/R6,17
POINT (-73.98932976663845 40.66960571948849),CityBridge LLC,BK,453,4 AVENUE,6,965,Y,1,987210,183232,YES,N,Y,N,C2-4/R8A,39
POINT (-73.99692547177415 40.66150358869068),CityBridge LLC,BK,715,4 AVENUE,7,529,Y,1,985103,180280,YES,N,Y,N,C1-3/R6,38
POINT (-74.00214759733684 40.64263048707273),CityBridge LLC,BK,4722,8 AVENUE,7,459,Y,1,983654,173404,YES,N,Y,N,C1-3/R6,38
POINT (-74.01265568111228 40.64638193130209),CityBridge LLC,BK,5001,4 AVENUE,7,1004,Y,1,980738,174771,YES,N,Y,,C1-3/R6,38
POINT (-73.92816407338572 40.65221481626263),CityBridge LLC,BK,5224,CHURCH AVENUE,17,451,Y,1,1004183,176904,YES,N,Y,Y,C1-2/R5,41
POINT (-74.01634398482803 40.63929717583203),CityBridge LLC,BK,6023,5 AVENUE,7,1152,Y,1,979714,172190,YES,N,Y,N,C2-3/R6,38
POINT (-73.97984318474086 40.784670112725784),CityBridge LLC,MN,246,WEST 80 STREET,7,10367,Y,2,989832,225154,YES,N,Y,N,C4-6A,6
POINT (-73.9908890059002 40.7608005245673),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,656,9 AVENUE,4,11009,Y,2,986774,216457,YES,N,Y,Y,C1-5/R8/CL,3
POINT (-73.96963066962019 40.76201280321874),CityBridge LLC,MN,110,EAST 58 STREET,5,10028,Y,2,992663,216900,YES,N,Y,N,C5-3/MID,4
POINT (-73.9630744108502 40.809113256735685),CityBridge LLC,MN,3008,BROADWAY,9,12378,Y,2,994472,234061,YES,N,Y,,R8,7
POINT (-73.97244656069925 40.76143437030045),CityBridge LLC,MN,50,EAST 56 STREET,5,10359,Y,2,991883,216689,YES,N,Y,Y,C5-3/MID,4
POINT (-73.99087455940303 40.76085541829147),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,661,9 AVENUE,4,11002,Y,2,986778,216477,YES,N,Y,Y,C1-5/R8/CL,3
POINT (-74.0075495739802 40.74306133815921),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,85,10 AVENUE,4,11003,Y,2,982158,209994,YES,N,Y,Y,M1-5,3
POINT (-73.99035686590977 40.74628077339118),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,819,6 AVENUE,5,11004,Y,1,986922,211167,YES,N,Y,Y,C6-4X,3
POINT (-73.98179930006312 40.748944889975284),CityBridge LLC,MN,22,EAST 36 STREET,6,10026,Y,1,989293,212138,YES,N,N,N,R10,4
POINT (-73.97886912881225 40.73624442845188),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,377,1 AVENUE,6,11005,Y,2,990106,207511,YES,N,Y,Y,C1-6A,2
POINT (-73.99287104623453 40.758083367777225),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,568,9 AVENUE,4,11006,Y,1,986225,215467,YES,N,Y,Y,C6-4/CL,3
POINT (-73.99063867491951 40.71838860147745),CityBridge LLC,MN,92,ALLEN STREET,3,3460,Y,1,986845,201005,YES,N,Y,N,C6-1,1
POINT (-73.99111284555653 40.76053430193844),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,645,9 AVENUE,4,11008,Y,2,986712,216360,YES,N,Y,Y,C1-5/R8/CL,3
POINT (-73.98676068896978 40.75461072492227),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,1440,BROADWAY,5,11001,Y,2,987918,214202,YES,N,Y,Y,C5-3/MID,4
POINT (-73.9934991977853 40.75724625782123),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,543,9 AVENUE,4,6177,Y,1,986051,215162,YES,N,Y,Y,C6-2A,3
POINT (-73.96541686709801 40.805949316601485),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,2895,BROADWAY,9,11010,Y,2,993824,232908,YES,N,Y,N,C1-4/R8,7
POINT (-73.9968603894614 40.742411036931415),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,175,7 AVENUE,4,11011,Y,2,985120,209757,YES,N,Y,Y,C6-3A,3
POINT (-73.98333084344324 40.743812440895674),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,100,EAST 29 STREET,5,6179,Y,1,988869,210268,YES,N,Y,Y,C6-4A,2
POINT (-73.96779074187788 40.75978906125045),CityBridge LLC,MN,936,3 AVENUE,6,15112,Y,1,993173,216090,YES,N,Y,Y,C6-6/MID,4
POINT (-73.99719898666268 40.7572793441321),CityBridge LLC,MN,501,10 AVENUE,4,10360,Y,2,985026,215174,YES,N,Y,N,M1-5,3
POINT (-73.98919541490277 40.72012316302627),CityBridge LLC,MN,142,ORCHARD STREET,3,10361,Y,2,987245,201637,YES,N,Y,Y,C6-1,1
POINT (-73.97672147735463 40.74841972874612),CityBridge LLC,MN,160,EAST 38 STREET,6,10362,Y,2,990700,211947,YES,N,Y,N,C1-9,4
POINT (-73.96398409765065 40.7568702705464),CityBridge LLC,MN,1001,1 AVENUE,6,15114,Y,2,994228,215027,YES,N,Y,Y,C1-5/R10,5
POINT (-73.95868801794667 40.764136574578316),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,1225,1 AVENUE,8,11015,Y,2,995694,217675,YES,N,Y,N,C1-9,5
POINT (-73.98320942453776 40.73872914415935),TELEBEAM TELECOMMUNICATIONS CORPORATION,MN,299,3 AVENUE,6,11007,Y,2,988903,208416,YES,N,Y,Y,C2-8A,2
